colour,id,dayofweek-month-dayofmonth,daynumber,unixtime,hour
#787272,1159245187961780222_231950700,SunJan10,10,1452412816,00
#A37676,1159245252638698770_256516434,SunJan10,10,1452412824,00
#A79F9F,1159245513070073926_321795117,SunJan10,10,1452412855,00
#8DA1A1,1159245719015023740_28329632,SunJan10,10,1452412880,00
#3A4545,1159245910799677448_214655637,SunJan10,10,1452412903,00
#824848,1159246089144619960_31293699,SunJan10,10,1452412924,00
#8D6B6B,1159246167542325861_186341527,SunJan10,10,1452412933,00
#6E2424,1159246249258086146_1811338802,SunJan10,10,1452412943,00
#793A3A,1159246541105384385_51313057,SunJan10,10,1452412978,00
#A9B6B6,1159246673919321803_8830232,SunJan10,10,1452412994,00
#5C8787,1159247057765313878_459225298,SunJan10,10,1452413039,00
#5E6C6C,1159247163792518933_1811338802,SunJan10,10,1452413052,00
#DFE5E5,1159247282170853660_195112141,SunJan10,10,1452413066,00
#D7A0A0,1159247637210764131_387747595,SunJan10,10,1452413108,00
#332E2E,1159247902500306360_2123502414,SunJan10,10,1452413140,00
#694343,1159247951793220124_18658833,SunJan10,10,1452413146,00
#573535,1159248009664573716_633787219,SunJan10,10,1452413153,00
#2D2E2E,1159248054535618739_1282227591,SunJan10,10,1452413158,00
#1B1A1A,1159248222829113130_1811338802,SunJan10,10,1452413178,00
#706262,1159248238110258083_21430971,SunJan10,10,1452413180,00
#8FADAD,1159248337139126909_1236492291,SunJan10,10,1452413192,00
#79B3B3,1159248457699266994_5001379,SunJan10,10,1452413206,00
#672121,1159248770350305959_538605627,SunJan10,10,1452413244,00
#D27B7B,1159248848954748346_2461673738,SunJan10,10,1452413253,00
#B2BBBB,1159248957199617393_307232050,SunJan10,10,1452413266,00
#666161,1159248994318202471_5901068,SunJan10,10,1452413270,00
#889E9E,1159249193550442296_1811338802,SunJan10,10,1452413294,00
#8A9494,1159249253466883926_2040496,SunJan10,10,1452413301,00
#252222,1159249269602057185_224449285,SunJan10,10,1452413303,00
#3F4747,1159249428966011592_1478036531,SunJan10,10,1452413322,00
#2C2222,1159249701682483746_339689291,SunJan10,10,1452413355,00
