colour,id,dayofweek-month-dayofmonth,daynumber,unixtimeint,hour
#8A4F4F,1152752267889674358_180081473,FriJan1,1,1451638800,01
#6A3535,1152752284005479338_370002731,FriJan1,1,1451638802,01
#100F0F,1152752377839471286_175511777,FriJan1,1,1451638813,01
#8E8080,1152752603133755708_838238183,FriJan1,1,1451638840,01
#4A4040,1152752623963036137_401238541,FriJan1,1,1451638843,01
#2A5151,1152752641471114238_1814239569,FriJan1,1,1451638845,01
#341B1B,1152752779207802685_36480414,FriJan1,1,1451638861,01
#180D0D,1152752809626559044_2065202039,FriJan1,1,1451638865,01
#5C4545,1152752829289390563_570491975,FriJan1,1,1451638867,01
#2B1818,1152752833964670592_192619734,FriJan1,1,1451638868,01
#99A7A7,1152752869377183657_286525642,FriJan1,1,1451638872,01
#4D3737,1152752895880375441_1549744138,FriJan1,1,1451638875,01
#173131,1152752962558220339_2226351013,FriJan1,1,1451638883,01
#986A6A,1152753086784463099_4820375,FriJan1,1,1451638898,01
#5D2828,1152753155161012948_16566357,FriJan1,1,1451638906,01
#7C7070,1152753189901584336_15154624,FriJan1,1,1451638910,01
#070505,1152753288061676586_50131306,FriJan1,1,1451638922,01
#442D2D,1152753431216172198_1549744138,FriJan1,1,1451638939,01
#402F2F,1152753460715471124_685920783,FriJan1,1,1451638942,01
#201313,1152753571880673835_307805167,FriJan1,1,1451638955,01
#542E2E,1152753585012338422_39883578,FriJan1,1,1451638957,01
#AAABAB,1152753627516214985_1436212406,FriJan1,1,1451638962,01
#392D2D,1152753680005486102_2709116,FriJan1,1,1451638968,01
#505050,1152753693736482952_232882989,FriJan1,1,1451638970,01
#302B2B,1152753707469783552_1432734111,FriJan1,1,1451638972,01
#534444,1152753748478126025_34165632,FriJan1,1,1451638977,01
#6D6767,1152753778133785024_23592517,FriJan1,1,1451638980,01
#5C5C5C,1152753795885698313_207959098,FriJan1,1,1451638982,01
#575050,1152753829764932015_512276799,FriJan1,1,1451638986,01
#503B3B,1152753913649482243_53740305,FriJan1,1,1451638996,01
#713838,1152753963956768191_2079331090,FriJan1,1,1451639002,01
#554646,1152754024006347010_348779921,FriJan1,1,1451639009,01
#332323,1152754056401750033_1533983553,FriJan1,1,1451639013,01
#766161,1152754158471754054_10561035,FriJan1,1,1451639025,01
#B7A9A9,1152754211059819322_556045919,FriJan1,1,1451639032,01
#8C6B6B,1152754242030299706_31035665,FriJan1,1,1451639035,01
#080606,1152754241924295161_2268148641,FriJan1,1,1451639035,01
#5F3939,1152754260159242681_512276799,FriJan1,1,1451639038,01
#ECE1E1,1152754308907121775_2375973438,FriJan1,1,1451639043,01
#928383,1152754312528547316_15746042,FriJan1,1,1451639044,01
#3A3434,1152754384099907046_314640804,FriJan1,1,1451639052,01
#1F2A2A,1152754378940711306_2260607,FriJan1,1,1451639052,01
#8A6F6F,1152754433554465556_1546344431,FriJan1,1,1451639058,01
#916868,1152754438407192271_9825254,FriJan1,1,1451639059,01
#9D7474,1152754474750559552_1353459080,FriJan1,1,1451639063,01
#655555,1152754499990103516_1837682344,FriJan1,1,1451639066,01
#5B3B3B,1152754514410293559_25382513,FriJan1,1,1451639068,01
#7A5252,1152754511706707023_184980116,FriJan1,1,1451639068,01
#201A1A,1152754543392203204_512276799,FriJan1,1,1451639071,01
#574242,1152754680704491976_1047445983,FriJan1,1,1451639088,01
#5E4D4D,1152754721660295722_401238541,FriJan1,1,1451639093,01
#7C3232,1152754768962925508_231982827,FriJan1,1,1451639098,01
#242929,1152754765970150779_240339740,FriJan1,1,1451639098,01
#171111,1152754772912857465_586751751,FriJan1,1,1451639099,01
#575050,1152754822472802766_512276799,FriJan1,1,1451639105,01
#0C0909,1152754872094040986_6444359,FriJan1,1,1451639111,01
